PremiseID,PremisesName,AltPremisesName,Customer,TenancyFloorOrSuite,PremiseType,StreetNumber,StreetName,Suburb,State,Postcode,Latitude,Longitude,RatingReferenceNumber,RatingType,RatingScope,CertificateValidTo,EnergyStarRatingValue,EnergyGPStarRatingValueNoGP,EnergyGreenPowerPercent,EnergyGreenPower,WasteStarRatingValue,IEQStarRatingValue,GHGEmissionsScope123WithRenewableElectricity,GHGEmissionsScope123WithoutRenewableElectricity,GHGEmissionsScope123PerM2WithRenewableElectricity,GHGEmissionsScope123PerM2WithoutRenewableElectricity,EnergyIntensityByM2,EnergyIntensityByRoom,GHGEmissionsScope123PerRoom,GHGEmissionsScope123PerRoomNoGP,TotalEnergyUse,CarbonNeutral,CarbonNeutralExpiryDate,AAAStarRatingValue,DataCentre_PUE,HospitalPeerGroup,WaterStarRatingValue,WaterStarRatingValueNoRW,WaterRecycledPercent,WaterRecycled,WaterConsumption,WaterConsumptionWoRW,WaterConsumptionPerRoom,WaterConsumptionPerRoomNoRW,WaterIntensity,WaterIntensityNoRW,ThermalComfortScore,AirQualityScore,AcousticComfortScore,LightingScore,OfficeLayoutScore,RecycleRate,WasteIntensity,ApartmentBuildingsTotalNumberOfApartments,AgedCareTotalBeds,HotelRatedGuestRooms,OfficeRatedArea,ShoppingCentresRatedArea,RatedSiteArea_CL_RL_WC,RatedElectricity,RatedGas,GasAndLPG_REI%,RatedDiesel,Diesel_REI%,REIResult_%,REIResult1dp_%,TotalRenewableElectricity_kWh,NonRenewableElectricity_kWh,NonRenewableElectricity_REI%,OnsitePVCapacity_kW,OnsiteRenewableElectricity_kWh,OnsiteRenewableElectricity_REI%,RETandStateTerritoryTargets_kWh,RETandStateTerritorytargets_REI%,GreenPower_kWh,GreenPower_REI%,OtherVoluntaryPurchases_kWh,OtherVoluntaryPurchases_REI%
1070,Australia Square Plaza,Australia Square Plaza,DEXUS FUNDS MANAGEMENT LIMITED,,Office,95,Pitt Street,SYDNEY,NSW,2000,-33.86494844,151.20795521,N67814,Indoor Environment,Base Building,10/07/2024,,,,,,5.50,,,,,,,,,,NO,10/07/2024,,,,,,,,,,,,,,76.60,94.20,90.60,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Jessie St Centre,Jessie St Centre,Charter Hall Limited,,Office,2-12,Macquarie Street,PARRAMATTA,NSW,2150,-33.81376327,150.99904905,N66636,Indoor Environment,Base Building,07/03/2024,,,,,,5.00,,,,,,,,,,NO,07/03/2024,,,,,,,,,,,,,,70.20,88.10,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,"130 George Street, Parramatta",130 George Street,DEXUS FUNDS MANAGEMENT LIMITED,,Office,130,George Street,PARRAMATTA,NSW,2150,-33.81401945,151.00819911,N67582,Indoor Environment,Base Building,01/07/2024,,,,,,5.50,,,,,,,,,,NO,01/07/2024,,,,,,,,,,,,,,88.50,94.60,76.30,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,"130 George Street, Parramatta","130 George Street, Parramatta",DEXUS FUNDS MANAGEMENT LIMITED,,Office,130,George Street,PARRAMATTA,NSW,2150,-33.81401945,151.00819911,N63518,Waste,Base Building,13/03/2024,,,,,2.50,,,,,,,,,,,NO,13/03/2024,,,,,,,,,,,,,,,,,,,23.00,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,"201 Miller Street, North Sydney","201 Miller Street, North Sydney",The Trustee for 201 Miller Sub Trust,,Office,201,Miller Street,NORTH SYDNEY,NSW,2060,-33.83639857,151.20776580,N67848,Indoor Environment,Base Building,27/07/2024,,,,,,5.00,,,,,,,,,,NO,27/07/2024,,,,,,,,,,,,,,64.30,96.20,97.20,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,346 Panorama Avenue,346 Panorama Avenue,Property NSW,,Office,346,Panorama Avenue,BATHURST,NSW,2795,-33.43023735,149.56678812,N66332,Waste,Base Building,31/01/2024,,,,,3.00,,,,,,,,,,,NO,31/01/2024,,,,,,,,,,,,,,,,,,,46.00,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,346 Panorama Avenue,346 Panorama Avenue,Property NSW,,Office,346,Panorama Avenue,BATHURST,NSW,2795,-33.43023735,149.56678812,N66582,Indoor Environment,Base Building,17/05/2024,,,,,,4.50,,,,,,,,,,NO,17/05/2024,,,,,,,,,,,,,,51.80,99.50,72.40,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,111 George St,111 George St,QIC Private Capital Pty Ltd & QIC Infrastructure Management No.2 Pty Ltd,,Office,111,George Street,BRISBANE CITY,QLD,4000,-27.47260580,153.02547490,N66121,Waste,Base Building,08/02/2024,,,,,1.00,,,,,,,,,,,NO,08/02/2024,,,,,,,,,,,,,,,,,,,9.00,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,7 Macquarie Place,7 Macquarie Place,GPT Property Management Pty Limited,,Office,7,Macquarie Place,SYDNEY,NSW,2000,-33.86273584,151.20982773,N65418,Indoor Environment,Base Building,23/12/2023,,,,,,1.00,,,,,,,,,,NO,23/12/2023,,,,,,,,,,,,,,24.30,74.80,7.40,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,7 Macquarie Place,7 Macquarie Place,GPT Property Management Pty Limited,,Office,7,Macquarie Place,SYDNEY,NSW,2000,-33.86273584,151.20982773,N68092,Waste,Base Building,09/11/2024,,,,,3.00,,,,,,,,,,,NO,09/11/2024,,,,,,,,,,,,,,,,,,,33.00,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,
